,Num_Acc,place,catu,severity,gender,trajet,secu,locp,comp,birth_year,secu1,secu2,secu3,senc,catv,occ,obs,obsm,choc,manv,motor,Unnamed: 0,catr,v1,circ,vosp,prof,plan,surf,infra,situ,env1,vma,an,mois,jour,lum,agg,int,atm,col
count,2665528,2513377,2636505,2636505,2636505,2636011,2085658,2580144,2580087,2628146,494310,494310,494310,2538483,2538844,2171707,2537603,2537866,2538382,2538283,371592,2665528,2665526,1231970,2661929,2659108,2661049,2660087,2661084,2652842,2653852,2154470,498254,2665528,2665528,2665528,2665528,2665528,2665528,2665375,2665481
mean,201271662047.07202,1.459960045787003,1.34088841098348,2.5162095273856866,1.32080538440094,3.1412638262890407,17.96288125857643,0.15015363483588512,-0.07289095290197578,1975.0419782614817,1.9457081588476868,1.120454775343408,-0.9157492261940887,0.42228724793508565,11.480125206590087,0.18714080674787162,1.0340151710098073,1.5185049171232838,2.8815993810230296,6.0610176249062855,1.1840217227496825,33531.37087098691,3.3326018954607832,-0.0011282742274568375,1.8735939238048798,0.1426587412019369,1.1639252039327348,1.2083540876670575,1.2492127268436473,0.5245826928252795,1.2096838859137586,38.3504356059727,60.710874373311604,386.5664191109604,6.690233979909421,15.620714920270956,1.9015320791978174,1.6528800297727129,1.7810024880624027,1.5665277868967782,3.8949236554302957
std,526410672.9707248,1.4766457493646539,0.6302241445147059,1.3424618407975293,0.48073103090838576,2.6912872781790407,19.290587833111402,0.9708098205293964,0.5731513970228028,18.903958624435887,2.3260582071741855,3.126995055298896,0.88677451300626,0.7600313478187832,11.397730227105313,3.6400675736720687,3.150537961517264,1.1929999389245738,2.438450344248332,7.293736574438337,1.040360374403252,20483.370199518537,1.228276259522356,0.534934835295479,0.7589906537039731,0.5774880555878605,0.6046074966101422,0.7035087323172233,0.8856369880795502,1.5626472485084728,0.8845572446843072,48.09198079159196,25.533628730976414,783.4421689476168,3.3762470143448704,8.750535857127817,1.4997859524038886,0.4760543892374488,1.6413331185382811,1.614828062520071,1.8956076933516852
min,200500000001,-1,1,-1,-1,-1,0,-1,-1,1896,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,5,1,1,-1,1,-1,-1,-1
25%,200800038683.75,1,1,1,1,0,11,0,0,1963,1,-1,-1,0,7,0,0,1,1,1,1,16268,3,0,2,0,1,1,1,0,1,0,50,8,4,8,1,1,1,1,3
50%,201200047102.5,1,1,3,1,4,11,0,0,1978,1,0,-1,0,7,0,0,2,2,1,1,32616,3,0,2,0,1,1,1,0,1,0,50,12,7,16,1,2,1,1,3
75%,201700045133.25,1,2,4,2,5,21,0,0,1989,2,0,-1,1,7,0,0,2,4,13,1,48974,4,0,2,0,1,1,1,0,1,99,80,17,10,23,3,2,2,1,6
max,202200055302,10,4,4,2,9,93,9,3,2022,9,9,9,3,99,900,17,9,9,26,6,87025,9,9,4,3,4,4,9,9,8,99,901,2022,12,31,5,2,9,9,7
